NC,0+105+106+107+108+109
NC010038,0
NC010039,0
NC011030,0
NC011031,0
NC011032,0
NC011033,0
NC011034,0
NC011035,0
NC011036,0
NC011037,0
NC011038,0
NC011039,0
NC012030,0
NC012031,0
NC012032,0
NC012033,0
NC012034,0
NC012035,0
NC012036,0
NC012037,0
NC012038,0
NC012039,0
NC013030,0
NC013031,0
NC013032,0
NC013033,0
NC013034,0
NC013035,0
NC013036,0
NC013037,0
NC013038,0
NC013039,0
NC014030,0
NC014031,0
NC014032,0
NC014033,0
NC014034,0
NC014035,0
NC014036,0
NC014037,0
NC014038,0
NC014039,0
NC015030,0
NC015031,0
NC015032,0
NC015033,0
NC015034,0
NC015035,0
NC015036,0
NC015037,0
NC015038,0
NC015039,0
NC016030,0
NC016031,0
NC016032,0
NC016033,0
NC016034,0
NC016035,0
NC016036,0
NC016037,0
NC016038,0
NC016039,0
NC017030,0
NC017031,0
NC017032,0
NC017033,0
NC017034,0
NC017035,0
NC017036,0
NC017037,0
NC017038,0
NC017039,0
NC018030,0
NC018031,0
NC018032,0
NC018033,0
NC018034,0
NC018035,0
NC018036,0
NC018037,0
NC018038,0
NC018039,0
NC019030,0
NC019031,0
NC019032,0
NC019033,0
NC019034,0
NC019035,0
NC019036,0
NC019037,0
NC019038,0
NC019039,0+105
NC00C,0+105
NC0004,0
NC0005,0
NC0104,0+105
NC010040,0
NC010041,0
NC010042,0
NC010043,0
NC010044,0
NC010045,0
NC010046,0
NC010047,0
NC010048,0
NC010049,0
NC011040,0
NC011041,0
NC011042,0
NC011043,0
NC011044,0
NC011045,0
NC011046,0
NC011047,0
NC011048,0
NC011049,0
NC012040,0
NC012041,0
NC012042,0
NC012043,0
NC012044,0
NC012045,0
NC012046,0
NC012047,0
NC012048,0
NC012049,0
NC013040,0
NC013041,0
NC013042,0
NC013043,0
NC013044,0
NC013045,0
NC013046,0
NC013047,0
NC013048,0
NC013049,0
NC014040,0
NC014041,0
NC014042,0
NC014043,0
NC014044,0
NC014045,0
NC014046,0
NC014047,0
NC014048,0
NC014049,0
NC015040,0
NC015041,0
NC015042,0
NC015043,0
NC015044,0
NC015045,0
NC015046,0
NC015047,0
NC015048,0
NC015049,0
NC016040,0
NC016041,0
NC016042,0
NC016043,0
NC016044,0
NC016045,0
NC016046,0
NC016047,0
NC016048,0
NC016049,0
NC017040,0
NC017041,0
NC017042,0
NC017043,0
NC017044,0
NC017045,0
NC017046,0
NC017047,0
NC017048,0
NC017049,0
NC018040,0+105
NC018041,0+105
NC018042,0
NC018043,0
NC018044,0
NC018045,0
NC018046,0
NC018047,0
NC018048,0
NC018049,0
NC019040,0+105
NC019041,0+105
NC019042,0+105
NC019043,0+105
NC019044,0+105
NC019045,0
NC019046,0
NC019047,0
NC019048,0
NC019049,0
NC0105,0+105
NC010050,0
NC010051,0
NC010052,0
NC010053,0
NC010054,0
NC010055,0
NC010056,0
NC010057,0
NC010058,0
NC010059,0
NC011050,0
NC011051,0
NC011052,0
NC011053,0
NC011054,0
NC011055,0
NC011056,0
NC011057,0
NC011058,0
NC011059,0
NC012050,0
NC012051,0
NC012052,0
NC012053,0
NC012054,0
NC012055,0
NC012056,0
NC012057,0
NC012058,0
NC012059,0
NC013050,0
NC013051,0
NC013052,0
NC013053,0
NC013054,0
NC013055,0
NC013056,0
NC013057,0
NC013058,0
NC013059,0
NC014050,0
NC014051,0
NC014052,0
NC014053,0
NC014054,0
NC014055,0
NC014056,0
NC014057,0
NC014058,0
NC014059,0
NC015050,0
NC015051,0
NC015052,0
NC015053,0
NC015054,0
NC015055,0
NC015056,0
NC015057,0
NC015058,0
NC015059,0
NC016050,0
NC016051,0
NC016052,0
NC016053,0
NC016054,0
NC016055,0
NC016056,0
NC016057,0
NC016058,0
NC016059,0
NC017050,0
NC017051,0
NC017052,0
NC017053,0
NC017054,0
NC017055,0
NC017056,0
NC017057,0
NC017058,0
NC017059,0
NC018050,0
NC018051,0
NC018052,0
NC018053,0
NC018054,0
NC018055,0
NC018056,0
NC018057,0
NC018058,0
NC018059,0
NC019050,0
NC019051,0
NC019052,0
NC019053,0
NC019054,0
NC019055,0
NC019056,0+105
NC019057,0+105
NC019058,0
NC019059,0
NC00D,0+105
NC0006,0+105
NC000060,0
NC000061,0
NC000062,0
NC000063,0
NC000064,0
NC000065,0
NC000066,0
NC000067,0+105
NC000068,105
NC000069,105
NC001060,0
NC001061,0
NC001062,0
NC001063,0
NC001064,0
NC001065,0
NC001066,0
NC001067,0+105
NC001068,105
NC001069,105
NC002060,0
NC002061,0
NC002062,0
NC002063,0
NC002064,0
NC002065,0
NC002066,0
NC002067,0+105
NC002068,0+105
NC002069,0+105
NC003060,0
NC003061,0
NC003062,0
NC003063,0
NC003064,0
NC003065,0
NC003066,0
NC003067,0
NC003068,0
NC003069,0
NC004060,0
NC004061,0
NC004062,0
NC004063,0
NC004064,0
NC004065,0
NC004066,0
NC004067,0
NC004068,0
NC004069,0
NC005060,0
NC005061,0
NC005062,0
NC005063,0
NC005064,0
NC005065,0
NC005066,0
NC005067,0
NC005068,0
NC005069,0
NC006060,0
NC006061,0
NC006062,0
NC006063,0
NC006064,0
NC006065,0
NC006066,0
NC006067,0
NC006068,0
NC006069,0
NC007060,0
NC007061,0
NC007062,0
NC007063,0
NC007064,0
NC007065,0
NC007066,0
NC007067,0
NC007068,0
NC007069,0
NC008060,0
NC008061,0
NC008062,0
NC008063,0
NC008064,0
NC008065,0
NC008066,0
NC008067,0
NC008068,0
NC008069,0
NC009060,0
NC009061,0
NC009062,0
NC009063,0
NC009064,0
NC009065,0
NC009066,0
NC009067,0
NC009068,0
NC009069,0
NC0007,0+105
NC000070,105
NC000071,0+105
NC000072,0+105
NC000073,0
NC000074,0
NC000075,0
NC000076,0
NC000077,0
NC000078,0
NC000079,0
NC001070,0+105
NC001071,0+105
NC001072,0+105
NC001073,0
NC001074,0
NC001075,0
NC001076,0
NC001077,0
NC001078,0
NC001079,0
NC002070,0+105
NC002071,0+105
NC002072,0
NC002073,0
NC002074,0
NC002075,0
NC002076,0
NC002077,0
NC002078,0
NC002079,0
NC003070,0
NC003071,0
NC003072,0
NC003073,0
NC003074,0
NC003075,0
NC003076,0
NC003077,0
NC003078,0
NC003079,0
NC004070,0
NC004071,0
NC004072,0
NC004073,0
NC004074,0
NC004075,0
NC004076,0
NC004077,0
NC004078,0
NC004079,0
NC005070,0
NC005071,0
NC005072,0
NC005073,0
NC005074,0
NC005075,0
NC005076,0
NC005077,0
NC005078,0
NC005079,0
NC006070,0
NC006071,0
NC006072,0
NC006073,0
NC006074,0
NC006075,0
NC006076,0
NC006077,0
NC006078,0
NC006079,0
NC007070,0
NC007071,0
NC007072,0
NC007073,0
NC007074,0
NC007075,0
NC007076,0
NC007077,0
NC007078,0
NC007079,0
NC008070,0
NC008071,0
NC008072,0
NC008073,0
NC008074,0
NC008075,0
NC008076,0
NC008077,0
NC008078,0
NC008079,0
NC009070,0
NC009071,0
NC009072,0
NC009073,0
NC009074,0
NC009075,0
NC009076,0
NC009077,0
NC009078,0
NC009079,0
NC0106,0+105
NC010060,0
NC010061,0
NC010062,0
NC010063,0
NC010064,0
NC010065,0
NC010066,0
NC010067,0
NC010068,0
NC010069,0
NC011060,0
NC011061,0
NC011062,0
NC011063,0
NC011064,0
NC011065,0
NC011066,0
NC011067,0
NC011068,0
NC011069,0
NC012060,0
NC012061,0
NC012062,0
NC012063,0
NC012064,0
NC012065,0
NC012066,0
NC012067,0
NC012068,0
NC012069,0
NC013060,0
NC013061,0
NC013062,0
NC013063,0
NC013064,0
NC013065,0
NC013066,0
NC013067,0
NC013068,0
NC013069,0
NC014060,0
NC014061,0
NC014062,0
NC014063,0
NC014064,0
NC014065,0
NC014066,0
NC014067,0
NC014068,0
NC014069,0
NC015060,0
NC015061,0
NC015062,0
NC015063,0
NC015064,0
NC015065,0
NC015066,0
NC015067,0
NC015068,0
NC015069,0
NC016060,0
NC016061,0
NC016062,0
NC016063,0
NC016064,0
NC016065,0
NC016066,0
NC016067,0
NC016068,0
NC016069,0
NC017060,0
NC017061,0
NC017062,0
NC017063,0
NC017064,0
NC017065,0
NC017066,0
NC017067,0
NC017068,0+105
NC017069,0
NC018060,0
NC018061,0
NC018062,0
NC018063,0
NC018064,0
NC018065,0
NC018066,0
NC018067,0+105
NC018068,0+105
NC018069,0+105
NC019060,0
NC019061,0
NC019062,0
NC019063,0
NC019064,0
NC019065,0
NC019066,0
NC019067,0+105
NC019068,105
NC019069,105
NC0107,0+105
NC010070,0
NC010071,0
NC010072,0
NC010073,0
NC010074,0
NC010075,0
NC010076,0
NC010077,0
NC010078,0
NC010079,0
NC011070,0
NC011071,0
NC011072,0
NC011073,0
NC011074,0
NC011075,0
NC011076,0
NC011077,0
NC011078,0
NC011079,0
NC012070,0
NC012071,0
NC012072,0
NC012073,0
NC012074,0
NC012075,0
NC012076,0
NC012077,0
NC012078,0
NC012079,0
NC013070,0
NC013071,0
NC013072,0
NC013073,0
NC013074,0
NC013075,0
NC013076,0
NC013077,0
NC013078,0
NC013079,0
NC014070,0
NC014071,0
NC014072,0
NC014073,0
NC014074,0
NC014075,0
NC014076,0
NC014077,0
NC014078,0
NC014079,0
NC015070,0
NC015071,0
NC015072,0
NC015073,0
NC015074,0
NC015075,0
NC015076,0
NC015077,0
NC015078,0
NC015079,0
NC016070,0
NC016071,0
NC016072,0
NC016073,0
NC016074,0
NC016075,0
NC016076,0
NC016077,0
NC016078,0
NC016079,0
NC017070,0
NC017071,0
NC017072,0
NC017073,0
NC017074,0
NC017075,0
NC017076,0
NC017077,0
NC017078,0
NC017079,0
NC018070,0+105
NC018071,0
NC018072,0
NC018073,0
NC018074,0
NC018075,0
NC018076,0
NC018077,0
NC018078,0
NC018079,0
NC019070,0+105
NC019071,0+105
NC019072,0+105
NC019073,0
NC019074,0
NC019075,0
NC019076,0
NC019077,0
NC019078,0
NC019079,0
NC00E,0+105
NC0008,0
NC0009,0+105
NC000090,0
NC000091,0
NC000092,0
NC000093,0
NC000094,0+105
NC000095,105
NC000096,105
NC000097,105
NC000098,105
NC000099,105
NC001090,0
NC001091,0
NC001092,0
NC001093,0+105
NC001094,0+105
NC001095,105
NC001096,105
NC001097,105
NC001098,105
NC001099,105
NC002090,0
NC002091,0
NC002092,0
NC002093,0+105
NC002094,0+105
NC002095,105
NC002096,105
NC002097,105
NC002098,105
NC002099,105
NC003090,0
NC003091,0
NC003092,0
NC003093,0+105
NC003094,0+105
NC003095,105
NC003096,105
NC003097,105
NC003098,105
NC003099,105
NC004090,0
NC004091,0
NC004092,0
NC004093,0+105
NC004094,0+105
NC004095,105
NC004096,105
NC004097,105
NC004098,105
NC004099,105
NC005090,0
NC005091,0
NC005092,0
NC005093,0
NC005094,0+105
NC005095,105
NC005096,105
NC005097,105
NC005098,105
NC005099,105
NC006090,0
NC006091,0
NC006092,0
NC006093,0
NC006094,0+105
NC006095,105
NC006096,105
NC006097,105
NC006098,105
NC006099,105
NC007090,0
NC007091,0
NC007092,0
NC007093,0
NC007094,0+105
NC007095,105
NC007096,105
NC007097,105
NC007098,105
NC007099,105
NC008090,0
NC008091,0
NC008092,0
NC008093,0
NC008094,0+105
NC008095,0+105
NC008096,105
NC008097,105
NC008098,105
NC008099,105
NC009090,0
NC009091,0
NC009092,0
NC009093,0
NC009094,0
NC009095,0+105
NC009096,0+105
NC009097,105
NC009098,105
NC009099,105
NC0108,0+105
NC010080,0
NC010081,0
NC010082,0
NC010083,0
NC010084,0
NC010085,0
NC010086,0
NC010087,0
NC010088,0
NC010089,0
NC011080,0
NC011081,0
NC011082,0
NC011083,0
NC011084,0
NC011085,0
NC011086,0
NC011087,0
NC011088,0
NC011089,0
NC012080,0
NC012081,0
NC012082,0
NC012083,0
NC012084,0
NC012085,0
NC012086,0
NC012087,0
NC012088,0
NC012089,0
NC013080,0
NC013081,0
NC013082,0
NC013083,0
NC013084,0
NC013085,0
NC013086,0
NC013087,0
NC013088,0
NC013089,0
NC014080,0
NC014081,0
NC014082,0
NC014083,0
NC014084,0
NC014085,0
NC014086,0
NC014087,0
NC014088,0
NC014089,0
NC015080,0
NC015081,0
NC015082,0
NC015083,0
NC015084,0
NC015085,0
NC015086,0
NC015087,0
NC015088,0
NC015089,0
NC016080,0
NC016081,0
NC016082,0
NC016083,0
NC016084,0
NC016085,0
NC016086,0
NC016087,0
NC016088,0
NC016089,0
NC017080,0
NC017081,0
NC017082,0
NC017083,0
NC017084,0
NC017085,0
NC017086,0
NC017087,0
NC017088,0
NC017089,0+105
NC018080,0
NC018081,0
NC018082,0
NC018083,0
NC018084,0
NC018085,0
NC018086,0
NC018087,0+105
NC018088,0+105
NC018089,0+105
NC019080,0
NC019081,0
NC019082,0
NC019083,0
NC019084,0
NC019085,0+105
NC019086,0+105
NC019087,0+105
NC019088,105
NC019089,105
NC0109,0+105
NC010090,0
NC010091,0
NC010092,0
NC010093,0
NC010094,0
NC010095,0+105
NC010096,0+105
NC010097,105
NC010098,105
NC010099,105
NC011090,0
NC011091,0
NC011092,0
NC011093,0
NC011094,0
NC011095,0+105
NC011096,0+105
NC011097,105
NC011098,105
NC011099,105
NC012090,0
NC012091,0
NC012092,0
NC012093,0
NC012094,0
NC012095,0+105
NC012096,105
NC012097,105
NC012098,105
NC012099,105
NC013090,0
NC013091,0
NC013092,0
NC013093,0
NC013094,0+105
NC013095,0+105
NC013096,105
NC013097,105
NC013098,105
NC013099,105
NC014090,0
NC014091,0
NC014092,0
NC014093,0+105
NC014094,0+105
NC014095,105
NC014096,105
NC014097,105
NC014098,105
NC014099,105
NC015090,0
NC015091,0
NC015092,0+105
NC015093,0+105
NC015094,105
NC015095,105
NC015096,105
NC015097,105
NC015098,105
NC015099,105
NC016090,0+105
NC016091,0+105
NC016092,0+105
NC016093,105
NC016094,105
NC016095,105
NC016096,105
NC016097,105
NC016098,105
NC016099,105
NC017090,0+105
NC017091,0+105
NC017092,105
NC017093,105
NC017094,105
NC017095,105
NC017096,105
NC017097,105
NC017098,105
NC017099,105
NC018090,105
NC018091,105
NC018092,105
NC018093,105
NC018094,105
NC018095,105
NC018096,105
NC018097,105
NC018098,105
NC018099,105
NC019090,105
NC019091,105
NC019092,105
NC019093,105
NC019094,105
NC019095,105
NC019096,105
NC019097,105
NC019098,105
NC019099,105
NC00F,0
NC00G,0+105
NC0202,0
NC0203,0+105
NC020030,0
NC020031,0
NC020032,0
NC020033,0
NC020034,0
NC020035,0
NC020036,0
NC020037,0
NC020038,0
NC020039,0+105
NC021030,0
NC021031,0
NC021032,0
NC021033,0
NC021034,0
NC021035,0
NC021036,0
NC021037,0
NC021038,0+105
NC021039,0+105
NC022030,0
NC022031,0
NC022032,0
NC022033,0
NC022034,0
NC022035,0
NC022036,0
NC022037,0
NC022038,0+105
NC022039,105
NC023030,0
NC023031,0
NC023032,0
NC023033,0
NC023034,0
NC023035,0
NC023036,0
NC023037,0
NC023038,0+105
NC023039,0+105
NC024030,0
NC024031,0
NC024032,0
NC024033,0
NC024034,0
NC024035,0
NC024036,0
NC024037,0
NC024038,0
NC024039,0
NC025030,0
NC025031,0
NC025032,0
NC025033,0
NC025034,0
NC025035,0
NC025036,0
NC025037,0
NC025038,0
NC025039,0
NC026030,0
NC026031,0
NC026032,0
NC026033,0
NC026034,0
NC026035,0
NC026036,0
NC026037,0
NC026038,0
NC026039,0
NC027030,0
NC027031,0
NC027032,0
NC027033,0
NC027034,0
NC027035,0
NC027036,0
NC027037,0
NC027038,0
NC027039,0
NC028030,0
NC028031,0
NC028032,0
NC028033,0
NC028034,0
NC028035,0
NC028036,0
NC028037,0
NC028038,0
NC028039,0
NC029030,0
NC029031,0
NC029032,0
NC029033,0
NC029034,0
NC029035,0
NC029036,0
NC029037,0
NC029038,0
NC029039,0
NC0302,0
NC0303,0
NC00H,0+105
NC0204,0+105
NC020040,105
NC020041,105
NC020042,105
NC020043,105
NC020044,0+105
NC020045,0+105
NC020046,0+105
NC020047,0
NC020048,0
NC020049,0+105
NC021040,105
NC021041,105
NC021042,105
NC021043,105
NC021044,105
NC021045,105
NC021046,0+105
NC021047,0+105
NC021048,0+105
NC021049,0+105
NC022040,105
NC022041,105
NC022042,105
NC022043,105
NC022044,105
NC022045,105
NC022046,105
NC022047,105
NC022048,105
NC022049,105
NC023040,0+105
NC023041,0+105
NC023042,105
NC023043,105
NC023044,105
NC023045,105
NC023046,105
NC023047,105
NC023048,105
NC023049,105
NC024040,0+105
NC024041,0+105
NC024042,0+105
NC024043,105
NC024044,105
NC024045,105
NC024046,105
NC024047,105
NC024048,105
NC024049,105
NC025040,0
NC025041,0+105
NC025042,0+105
NC025043,0+105
NC025044,105
NC025045,105
NC025046,0+105
NC025047,0+105
NC025048,105
NC025049,105
NC026040,0
NC026041,0
NC026042,0
NC026043,0+105
NC026044,0+105
NC026045,0+105
NC026046,0+105
NC026047,0+105
NC026048,0+105
NC026049,0+105
NC027040,0
NC027041,0
NC027042,0
NC027043,0+105
NC027044,0+105
NC027045,0
NC027046,0
NC027047,0
NC027048,0
NC027049,0
NC028040,0
NC028041,0
NC028042,0
NC028043,0
NC028044,0
NC028045,0
NC028046,0
NC028047,0
NC028048,0
NC028049,0
NC029040,0
NC029041,0
NC029042,0
NC029043,0
NC029044,0
NC029045,0
NC029046,0
NC029047,0
NC029048,0
NC029049,0
NC0205,0+105
NC020050,0+105
NC020051,0+105
NC020052,0+105
NC020053,0+105
NC020054,0+105
NC020055,0+105
NC020056,0+105
NC020057,0+105
NC020058,0+105
NC020059,0
NC021050,105
NC021051,0+105
NC021052,105
NC021053,0+105
NC021054,0+105
NC021055,105
NC021056,105
NC021057,0+105
NC021058,0+105
NC021059,0
NC022050,105
NC022051,105
NC022052,0+105
NC022053,0+105
NC022054,105
NC022055,105
NC022056,105
NC022057,0+105
NC022058,0
NC022059,0
NC023050,105
NC023051,0+105
NC023052,0+105
NC023053,0+105
NC023054,0+105
NC023055,0+105
NC023056,0+105
NC023057,0+105
NC023058,0
NC023059,0
NC024050,105
NC024051,0+105
NC024052,0
NC024053,0
NC024054,0+105
NC024055,0
NC024056,0
NC024057,0
NC024058,0
NC024059,0
NC025050,0+105
NC025051,0+105
NC025052,0
NC025053,0
NC025054,0
NC025055,0
NC025056,0
NC025057,0
NC025058,0
NC025059,0
NC026050,0+105
NC026051,0
NC026052,0
NC026053,0
NC026054,0
NC026055,0
NC026056,0
NC026057,0
NC026058,0
NC026059,0
NC027050,0
NC027051,0
NC027052,0
NC027053,0
NC027054,0
NC027055,0
NC027056,0
NC027057,0
NC027058,0
NC027059,0
NC028050,0
NC028051,0
NC028052,0
NC028053,0
NC028054,0
NC028055,0
NC028056,0
NC028057,0
NC028058,0
NC028059,0
NC029050,0
NC029051,0
NC029052,0
NC029053,0
NC029054,0
NC029055,0
NC029056,0
NC029057,0
NC029058,0
NC029059,0
NC0304,0
NC0305,0+105
NC030050,0
NC030051,0
NC030052,0
NC030053,0
NC030054,0
NC030055,0
NC030056,0
NC030057,0
NC030058,0
NC030059,0
NC031050,0
NC031051,0
NC031052,0
NC031053,0
NC031054,0
NC031055,0
NC031056,0
NC031057,0
NC031058,0
NC031059,0
NC032050,0
NC032051,0
NC032052,0
NC032053,0
NC032054,0
NC032055,0
NC032056,0
NC032057,0
NC032058,0
NC032059,0
NC033050,0
NC033051,0
NC033052,0
NC033053,0
NC033054,0
NC033055,0
NC033056,0
NC033057,0
NC033058,0
NC033059,0
NC034050,0
NC034051,0
NC034052,0
NC034053,0
NC034054,0
NC034055,0
NC034056,0
NC034057,0
NC034058,0
NC034059,0
NC035050,0
NC035051,0
NC035052,0
NC035053,0
NC035054,0
NC035055,0
NC035056,0
NC035057,0
NC035058,0
NC035059,0
NC036050,0
NC036051,0
NC036052,0
NC036053,0
NC036054,0
NC036055,0
NC036056,0
NC036057,0+105
NC036058,0+105
NC036059,0+105
NC037050,0
NC037051,0
NC037052,0
NC037053,0
NC037054,0
NC037055,0+105
NC037056,0+105
NC037057,0+105
NC037058,0+105
NC037059,105
NC038050,0
NC038051,0
NC038052,0
NC038053,0+105
NC038054,0+105
NC038055,0+105
NC038056,105
NC038057,105
NC038058,105
NC038059,105
NC039050,0
NC039051,0
NC039052,0+105
NC039053,0+105
NC039054,105
NC039055,105
NC039056,105
NC039057,105
NC039058,105
NC039059,105
NC00I,0+105
NC0206,0+105
NC020060,0
NC020061,0
NC020062,0
NC020063,0
NC020064,0
NC020065,0
NC020066,0
NC020067,0+105
NC020068,105
NC020069,105
NC021060,0
NC021061,0
NC021062,0
NC021063,0
NC021064,0
NC021065,0
NC021066,0
NC021067,0+105
NC021068,105
NC021069,105
NC022060,0
NC022061,0
NC022062,0
NC022063,0
NC022064,0
NC022065,0
NC022066,0+105
NC022067,0+105
NC022068,105
NC022069,105
NC023060,0
NC023061,0
NC023062,0
NC023063,0
NC023064,0
NC023065,0
NC023066,0
NC023067,0+105
NC023068,105
NC023069,105
NC024060,0
NC024061,0
NC024062,0
NC024063,0
NC024064,0
NC024065,0
NC024066,0
NC024067,0+105
NC024068,105
NC024069,105
NC025060,0
NC025061,0
NC025062,0
NC025063,0
NC025064,0
NC025065,0
NC025066,0
NC025067,0+105
NC025068,105
NC025069,105
NC026060,0
NC026061,0
NC026062,0
NC026063,0
NC026064,0
NC026065,0
NC026066,0
NC026067,0+105
NC026068,105
NC026069,105
NC027060,0
NC027061,0
NC027062,0
NC027063,0
NC027064,0
NC027065,0
NC027066,0
NC027067,0+105
NC027068,105
NC027069,105
NC028060,0
NC028061,0
NC028062,0
NC028063,0
NC028064,0
NC028065,0
NC028066,0
NC028067,0+105
NC028068,0+105
NC028069,105
NC029060,0
NC029061,0
NC029062,0
NC029063,0
NC029064,0
NC029065,0
NC029066,0
NC029067,0
NC029068,0+105
NC029069,105
NC0207,0+105
NC020070,105
NC020071,105
NC020072,0+105
NC020073,0+105
NC020074,0
NC020075,0
NC020076,0
NC020077,0
NC020078,0
NC020079,0
NC021070,105
NC021071,105
NC021072,105
NC021073,0+105
NC021074,0+105
NC021075,0
NC021076,0
NC021077,0
NC021078,0
NC021079,0+105
NC022070,105
NC022071,105
NC022072,105
NC022073,105
NC022074,0+105
NC022075,0+105
NC022076,0
NC022077,0+105
NC022078,0+105
NC022079,0+105
NC023070,105
NC023071,105
NC023072,105
NC023073,105
NC023074,105
NC023075,0+105
NC023076,0+105
NC023077,0+105
NC023078,0+105
NC023079,105
NC024070,105
NC024071,105
NC024072,105
NC024073,105
NC024074,105
NC024075,105
NC024076,105
NC024077,105
NC024078,105
NC024079,105
NC025070,105
NC025071,105
NC025072,105
NC025073,105
NC025074,105
NC025075,105
NC025076,105
NC025077,105
NC025078,105
NC025079,105
NC026070,105
NC026071,105
NC026072,105
NC026073,105
NC026074,105
NC026075,105
NC026076,105
NC026077,105
NC026078,105
NC026079,105
NC027070,105
NC027071,105
NC027072,105
NC027073,105
NC027074,105
NC027075,105
NC027076,105
NC027077,105
NC027078,105
NC027079,105
NC028070,105
NC028071,105
NC028072,105
NC028073,105
NC028074,105
NC028075,105
NC028076,105
NC028077,105
NC028078,105
NC028079,105
NC029070,105
NC029071,105
NC029072,105
NC029073,105
NC029074,105
NC029075,105
NC029076,105
NC029077,105
NC029078,105
NC029079,105
NC0306,0+105
NC030060,0
NC030061,0
NC030062,0
NC030063,0
NC030064,0
NC030065,0
NC030066,0
NC030067,0
NC030068,0+105
NC030069,0+105
NC031060,0
NC031061,0
NC031062,0
NC031063,0
NC031064,0
NC031065,0
NC031066,0
NC031067,0
NC031068,0+105
NC031069,105
NC032060,0
NC032061,0
NC032062,0
NC032063,0
NC032064,0
NC032065,0
NC032066,0+105
NC032067,0+105
NC032068,0+105
NC032069,105
NC033060,0
NC033061,0
NC033062,0
NC033063,0+105
NC033064,0+105
NC033065,0+105
NC033066,0+105
NC033067,105
NC033068,105
NC033069,105
NC034060,0+105
NC034061,0+105
NC034062,0+105
NC034063,0+105
NC034064,105
NC034065,105
NC034066,105
NC034067,105
NC034068,105
NC034069,105
NC035060,0+105
NC035061,105
NC035062,105
NC035063,105
NC035064,105
NC035065,105
NC035066,105
NC035067,105
NC035068,105
NC035069,105
NC036060,0+105
NC036061,105
NC036062,105
NC036063,105
NC036064,105
NC036065,105
NC036066,105
NC036067,105
NC036068,105
NC036069,105
NC037060,105
NC037061,105
NC037062,105
NC037063,105
NC037064,105
NC037065,105
NC037066,105
NC037067,105
NC037068,105
NC037069,105
NC038060,105
NC038061,105
